Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,trial start,,None,mixed view,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,43,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.667,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,50,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.767,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,53,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.800,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,54,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.900,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,57,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,gape,,,,START,1.933,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,58,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,gape,,,,STOP,2.067,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,62,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,gape,,,,START,2.100,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,63,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,gape,,,,STOP,2.267,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,68,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,gape,,,,START,2.300,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,69,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,gape,,,,STOP,2.467,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,74,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,gape,,,,START,2.500,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,75,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,gape,,,,STOP,2.600,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,78,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,gape,,,,START,2.667,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,80,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,gape,,,,STOP,2.767,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,83,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.800,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,84,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.900,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,87,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,3.000,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,90,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,3.133,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,94,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,3.167,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,95,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,3.267,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,98,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,3.300,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,99,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,3.367,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,101,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,3.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,116,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,3.933,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,118,NA,
CM31_TestPart1_h2o_9,2024-03-05 13:17:44,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,4.367,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_9.avi,131,NA,
