Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_sac_1,2024-02-23 12:11:51,,4.467,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_1.avi,0.0,6.000,30.000,,trial start,,i,None,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_1.avi,43,NA,
CM31_TestPart1_sac_1,2024-02-23 12:11:51,,4.467,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,tongue protrusion,,START,1.833,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_1.avi,55,NA,
CM31_TestPart1_sac_1,2024-02-23 12:11:51,,4.467,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,tongue protrusion,,STOP,5.900,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_1.avi,177,NA,
