Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_h2o_5,2024-03-05 12:58:44,,0.300,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_5.avi,0.0,6.000,30.000,,trial start,,None,mixed view,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_5.avi,43,NA,
CM31_TestPart1_h2o_5,2024-03-05 12:58:44,,0.300,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_5.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.533,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_5.avi,46,NA,
CM31_TestPart1_h2o_5,2024-03-05 12:58:44,,0.300,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_5.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.633,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_5.avi,49,NA,
CM31_TestPart1_h2o_5,2024-03-05 12:58:44,,0.300,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_5.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.667,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_5.avi,50,NA,
CM31_TestPart1_h2o_5,2024-03-05 12:58:44,,0.300,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_5.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.733,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_5.avi,52,NA,
