Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_h2o_10,2024-03-05 13:20:59,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,0.0,6.000,30.000,,trial start,,None,in view,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,43,NA,
CM31_TestPart1_h2o_10,2024-03-05 13:20:59,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.567,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,47,NA,
CM31_TestPart1_h2o_10,2024-03-05 13:20:59,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.667,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,50,NA,
CM31_TestPart1_h2o_10,2024-03-05 13:20:59,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,0.0,6.000,30.000,,gape,,,,START,1.733,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,52,NA,
CM31_TestPart1_h2o_10,2024-03-05 13:20:59,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,0.0,6.000,30.000,,gape,,,,STOP,1.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,56,NA,
CM31_TestPart1_h2o_10,2024-03-05 13:20:59,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,0.0,6.000,30.000,,gape,,,,START,1.900,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,57,NA,
CM31_TestPart1_h2o_10,2024-03-05 13:20:59,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,0.0,6.000,30.000,,gape,,,,STOP,2.100,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,63,NA,
CM31_TestPart1_h2o_10,2024-03-05 13:20:59,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,0.0,6.000,30.000,,gape,,,,START,2.133,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,64,NA,
CM31_TestPart1_h2o_10,2024-03-05 13:20:59,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,0.0,6.000,30.000,,gape,,,,STOP,2.300,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,69,NA,
CM31_TestPart1_h2o_10,2024-03-05 13:20:59,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,0.0,6.000,30.000,,gape,,,,START,2.333,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_10.avi,70,NA,
