Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,trial start,,None,mixed view,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,43,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.633,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,49,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.733,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,52,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.767,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,53,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,56,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.933,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,58,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.067,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,62,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,gape,,,,START,2.100,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,63,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,gape,,,,STOP,2.233,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,67,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,gape,,,,START,2.267,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,68,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,gape,,,,STOP,2.400,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,72,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,gape,,,,START,2.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,73,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,gape,,,,STOP,2.533,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,76,NA,
CM31_TestPart1_h2o_12,2024-03-05 13:30:59,,3.767,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,0.0,6.000,30.000,,gape,,,,START,2.633,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_12.avi,79,NA,
