Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,trial start,,None,mixed view,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,43,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.667,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,50,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.767,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,53,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.800,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,54,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.900,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,57,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.933,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,58,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.000,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,60,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,tongue protrusion,,START,2.167,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,65,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,tongue protrusion,,STOP,2.233,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,67,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.267,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,68,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.367,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,71,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.400,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,72,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.467,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,74,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.533,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,76,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.600,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,78,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.633,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,79,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.733,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,82,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.767,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,83,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,86,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.933,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,88,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,3.000,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,90,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,tongue protrusion,,START,3.067,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,92,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,tongue protrusion,,STOP,3.133,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,94,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,3.200,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,96,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,3.267,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,98,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,tongue protrusion,,START,3.333,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,100,NA,
CM31_TestPart1_h2o_7,2024-03-05 13:07:13,,4.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,tongue protrusion,,STOP,3.400,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_7.avi,102,NA,
