Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,trial start,,None,mixed view,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,43,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.600,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,48,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.667,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,50,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,gape,,,,START,1.700,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,51,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,gape,,,,STOP,1.800,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,54,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,gape,,,,START,1.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,56,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,gape,,,,STOP,2.000,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,60,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,gape,,,,START,2.067,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,62,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,gape,,,,STOP,2.200,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,66,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,gape,,,,START,2.267,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,68,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,gape,,,,STOP,2.400,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,72,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,gape,,,,START,2.467,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,74,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,gape,,,,STOP,2.533,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,76,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.600,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,78,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.667,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,80,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.733,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,82,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.800,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,84,NA,
CM31_TestPart1_h2o_8,2024-03-05 13:10:00,,4.267,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_8.avi,86,NA,
