Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,trial start,,None,mixed view,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,43,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.667,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,50,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.733,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,52,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.800,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,54,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,56,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.900,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,57,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.000,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,60,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.067,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,62,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.133,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,64,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.200,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,66,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.267,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,68,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,2.333,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,70,NA,
CM31_TestPart1_h2o_1,2024-02-27 16:24:22,,1.000,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,2.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_1.avi,73,NA,
