Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart2_qhcl_2,2024-03-05 14:10:18,,0.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part2/quinine_trial_2.avi,0.0,6.000,30.000,,trial start,,None,mixed view,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part2/quinine_trial_2.avi,43,NA,
CM31_TestPart2_qhcl_2,2024-03-05 14:10:18,,0.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part2/quinine_trial_2.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part2/quinine_trial_2.avi,56,NA,
CM31_TestPart2_qhcl_2,2024-03-05 14:10:18,,0.534,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part2/quinine_trial_2.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.967,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part2/quinine_trial_2.avi,59,NA,
